HYBAS_ID,LINKNO
5040017030,520327685
5040021180,520350150
5040017820,520235855
5040004800,510090019
7040585120,710922871
7040608130,710914988
7040632220,710678941
7040041050,750138713
8040176200,810321400
6040021210,650168705
6040026750,660091197
6040025130,660089933
6040023980,660116028
6040933820,650341154
6040017970,650314746
6040709820,640553275
6040814830,640564028
6040015560,640538827
6040007000,621062592
6040389870,630342122
6040009760,630164909
6040280410,621066852
7040005410,710245376
1040837890,160771607
1040014490,120222914
1041624330,120538727
1041629430,120565386
1041478080,120772674
1041548760,120704723
1040010590,110306880
1040035400,170119574
1040018120,130109517
1040019180,130538829
1041174960,130714565
1040722720,140637122
1040709280,140610892
1040786860,140685297
1040023900,140238704
1040633540,140689371
1040644920,140714143
4040783330,420794103
4040773260,420761324
4040694350,420828907
4040603740,420923927
3040496590,310681644
3040481940,310729226
3040387130,310582199
3040369500,320452094
3040299510,340503206
4040794730,441247006
5040057320,541800212
5040057710,541676451
5040087830,541781568
5040491380,541864846
5040073410,540514417
5040533450,541752049
2040085560,290636657
1040040340,150516129
2040022150,230440085
2040379760,220472253
2040416550,220448961
2040315950,280758311
2040289120,280777831
2040005120,220112491
2040073570,291153600
2040085640,291201685
2040071690,290580046
4040607420,440399124
4040225300,470564837
4040416430,460266650
4040095320,410625781
3040679760,320327004
4040050370,480232377
4040462930,460266764
7040039880,750117989
6040709810,640541754
6040280400,621088867
1040837630,160770439
1041548750,120714706
1041174950,130706006
1040709030,140637094
1040633360,140706840
1040644790,140680654
3040386960,310600050
3040369320,320412925
4040794590,441248382
5040056750,541753216
5040057330,541723581
5040057330,541664369
5040491370,541909196
5040533380,541772208
2040379750,220505276
2040416390,220461346
2040315940,280768678
2040288980,280768612
4040095270,410637044
3040679750,320323548
4040462690,460267478
1040009450,110569126
1040009460,110333011
1040010030,110296304
1040010600,110118062
1040040370,110496967
1040000010,110064602
1040006850,110799543
1040007000,110790391
1040007260,110791737
1040040270,110858692
1040040320,110451843
1040040900,110173624
1040040920,110777351
1040008100,110407544
1040008110,110411500
1040008470,110383989
1040008480,110373591
1041014460,110905961
1041014470,110908585
1041115240,110634471
1041115400,110554448
1041139430,110398348
1041139500,110441645
1041144990,110479699
1041145090,110385234
1040040260,110777430
1040040440,110436498
1040040550,110765637
1040040660,110862667
1040040920,110842994
1040041020,110335446
1040041270,110651508
1040012690,120520259
1040012810,120581853
1040012820,120229572
1040014920,120094812
1040014930,120059873
1040015030,120429106
1040015850,120507116
1040015860,120663152
1041477980,120704448
1041479540,120774339
1041479650,120774341
1041515680,120716235
1041515780,120669645
1041533130,120776206
1041533240,120651411
1041620200,120545353
1041620260,120543692
1041624310,120527076
1041626200,120517110
1041626210,120558709
1041629370,120570377
1040040200,120712960
1040040240,120772729
1040011660,120702826
1040011670,120831107
1040012590,120543503
1040012680,120563510
1041431480,120639402
1041431680,120700972
1041438780,120604479
1041438860,120720962
1041472390,120734383
1041472430,120657840
1041473880,120731062
1041473950,120732725
1041548220,120684750
1041548260,120658129
1041576090,120636619
1041576130,120606670
1041584690,120595057
1041584780,120659954
1040019270,130629523
1040019420,130661995
1040019430,130603654
1040020050,130750761
1040020240,130745580
1040020570,130695715
1040020580,130765697
1040021500,130770757
1040021510,130815237
1040021910,130748422
1040020040,130749104
1041156950,130688833
1041156960,130724786
1041213630,130740362
1041213640,130738650
1041259940,130673750
1041259950,130757640
1040022430,140454109
1040023300,140342044
1040023310,140202316
1040023890,140320242
1040023950,140225611
1040786690,140696944
1040873640,140717480
1040873650,140692723
1040915980,140689897
1040915990,140641844
1040022420,140059678
1040641660,140773834
1040641670,140703945
1040722570,140629840
1040760280,140680878
1040760290,140603709
1040909890,140633097
1040909900,140719000
1040023960,140184844
1040024070,140135351
1040026800,140639960
1040026820,140676324
1040027410,140565510
1040571730,140617894
1040571900,140537820
1040667360,140635565
1040667560,140631197
1040040410,151256733
1040040790,151068000
1040040220,151206905
1040040560,151306518
1040028960,151300277
1040029430,150530093
1040029700,150508185
1040040520,151230764
1040040580,151256707
1040040630,151169254
1040040990,151127566
1040029810,150494226
1040040330,150744408
1040040300,151129611
1040040740,150524035
1040040750,150482296
1040041070,150857536
1040028700,151187314
1040040870,151344232
1040040380,150214066
1040040960,150983443
1040040540,150907185
1040040420,151169378
1040041430,151222922
1040040250,151294447
1040040280,150426280
1040040290,151261031
1040041040,151300723
1040040670,151217440
1040040310,151116305
1040034260,160064246
1040034270,160105132
1040526810,160448969
1040526970,160458314
1040601190,160502764
1040601200,160501596
1040843030,160723721
1040843040,160762267
1040035590,170115307
1040036020,170128949
1040036030,170124565
1040036860,170114945
1040040230,180335351
1040040510,180316282
1040040590,180334530
1040041030,180338208
1040040210,180332556
1040040490,180356459
1040040610,180335378
1040695300,180405703
1040695540,180401865
1040695700,180424905
1040734180,180423038
1040734190,180404793
1040840230,180205239
1040840410,180189880
1040040360,180418194
1041923540,180367351
2040012730,210195545
2040014550,210393186
2040016230,210213573
2040009230,210366841
2040007930,220637765
2040007940,220571750
2040363700,220413040
2040400100,220499830
2040400110,220517715
2040003550,220179949
2040003560,220098734
2040004130,220097354
2040004280,220126268
2040005130,220075295
2040005690,220493373
2040085960,220147096
2040008490,220548420
2040539930,220548396
2040540100,220474093
2040543090,220538775
2040543160,220577308
2040548500,220558053
2040548700,220475495
2040555600,220471392
2040555780,220439746
2040005690,220556602
2040006590,220687257
2040439100,220528838
2040439160,220515079
2040439790,220528841
2040439800,220535716
2040491970,220691351
2040491980,220696855
2040501810,220729904
2040501940,220681745
2040054200,230475858
2040018360,230028254
2040018460,230191438
2040018840,230201159
2040019150,230183660
2040020320,230172621
2040021030,230269360
2040022160,230452055
2040023010,230559667
2040023020,230494329
2040024170,230330030
2040026550,240226643
2040026560,240162111
2040026920,240245017
2040026930,240248376
2040027320,240242614
2040028310,240219410
2040028660,240264305
2040028670,240273462
2040029940,240153456
2040029950,240183390
2040026060,240258941
2040026070,240231257
2040030060,240186820
2040030100,240244417
2040030110,240196031
2040031060,240250329
2040031070,240319458
2040031490,240268908
2040033320,240233354
2040033480,250050536
2040039390,250165158
2040039590,250227681
2040039600,250204862
2040041120,250091951
2040041180,250104868
2040065960,280369658
2040066030,280464102
2040066340,280352267
2040069160,280318726
2040070050,280393734
2040070510,280461804
2040066490,280395961
2040085500,280324615
2040085690,280445658
2040067750,280353126
2040068680,280391126
2040068710,280310550
2040068720,280346286
2040069150,280327915
2040292580,280736363
2040292690,280744430
2040309560,280699537
2040309610,280677652
2040067280,280315173
2040067570,280415324
2040067650,280417628
2040067740,280389987
2040066490,280317574
2040077470,290606418
2040077570,290533496
2040078500,290356202
2040078750,290283322
2040085520,290416572
2040085670,290460599
2040085710,290649020
2040085760,290353469
2040785890,291311675
2040785900,291275933
2040816320,291182443
2040816390,291146671
2040816870,291238840
2040828780,291170089
2040828790,291252650
2040085850,291267745
2040085940,291108254
2040085990,290256020
2040816860,291242990
2040071260,290789184
2040071700,290578670
2040085530,291276023
2040085550,291091766
2040085620,291192135
2040085630,291069791
2040085750,291123368
2040085820,291185255
2040085830,291256629
2040086100,291218152
2040086240,291130170
2040084120,290833192
2040085720,291240135
2040072590,290908819
2040072920,291105531
2040085570,290840992
2040085590,290911190
2040085620,291175580
2040085700,291179639
2040085730,291170006
2040085740,290913945
2040085780,290860275
2040085830,291058463
2040085930,291090339
2040073580,291116442
2040075160,290726030
2040085650,290676537
2040085510,290664146
2040085580,290904703
2040085660,290756271
2040086170,290712270
3040001850,310518358
3040002000,310446942
3040002560,310343675
3040002680,310391304
3040002870,310288091
3040002880,310228335
3040001840,310450853
3040203170,310562136
3040203310,310502482
3040481930,310719307
3040496490,310715371
3040024350,310610426
3040003790,320167179
3040004740,320184490
3040005440,320162521
3040215990,320394315
3040216320,320328653
3040483880,320383120
3040483980,320320914
3040009130,340150971
3040264560,340453448
3040264710,340519697
3040299300,340512403
3040411570,340457466
3040411580,340461147
3040441450,340474101
3040441670,340409705
3040024310,360078283
4040005050,410071476
4040005060,410150217
4040005710,410153288
4040006520,410223913
4040006570,410238238
4040006580,410253602
4040050260,410846189
4040000010,410327735
4040000880,410642174
4040000890,410326240
4040136170,410692478
4040136250,410694526
4040169390,410829772
4040169400,410766288
4040186730,410851309
4040186800,410800113
4040012990,420427778
4040013000,420075587
4040007080,420583803
4040007410,420673932
4040007660,420687281
4040007850,420711866
4040548260,420800982
4040548370,420804054
4040578640,420717049
4040578830,420743674
4040603570,420797972
4040627250,421024306
4040627620,421067315
4040050550,420625799
4040007860,420953656
4040009890,420690805
4040011690,420612021
4040012280,420598739
4040012770,420585449
4040009880,420808344
4040015000,420047953
4040694190,420840074
4040748300,420747980
4040748310,420781773
4040773130,420826859
4040783120,420797175
4040017030,430483961
4040023060,430589339
4040023220,430519684
4040023810,430563729
4040015090,430206554
4040017020,430277204
4041043580,430505262
4041043590,430486831
4041108500,430484931
4041108580,430482883
4041128230,430458362
4041128330,430475771
4041144860,430341687
4041144880,430308918
4040024190,440673594
